Instance,Income
111994,35953.252648
111995,12251.019056599998
111996,31071.480669
111997,110257.862699
111998,29271.070818
111999,90860.738616
112000,103426.51815999999
112001,56278.91074399999
112002,35335.644982000005
112003,107211.42994799998
112004,10986.612540900001
112005,195179.17126
112006,29705.333195000003
112007,98553.47382700001
112008,254262.9548
112009,71716.62319799999
112010,44011.093111
112011,28068.278292000003
112012,20305.7555063
112013,14217.218662300002
112014,129271.415512
112015,48831.592893
112016,54061.392205000004
112017,26799.475027
112018,142324.84033
112019,48074.46182399999
112020,38686.91317
112021,26481.396655
112022,94292.35138099999
112023,55064.17607199999
112024,26678.405580000002
112025,76441.146673
112026,34882.948667
112027,61071.951196
112028,39925.911418
112029,54071.09637299999
112030,178892.10043
112031,211276.06472999998
112032,277461.1534399999
112033,96556.314295
112034,208501.48317999995
112035,100612.02614599999
112036,191549.77345000004
112037,144461.2404
112038,197107.66127500002
112039,48592.557528000005
112040,72028.862081
112041,64048.18827399999
112042,40985.183449000004
112043,67711.99870299999
112044,46817.69773100001
112045,16664.8262691
112046,246831.32173000003
112047,32064.584041999995
112048,25490.124613999997
112049,100447.11989200002
112050,46297.696704000016
112051,88026.3689
112052,110206.88990899999
112053,194353.53704
112054,86307.633694
112055,27915.008574999996
112056,95265.955077
112057,22948.550882
112058,32237.412513
112059,35998.606383
112060,292334.7884000001
112061,141201.624994
112062,202640.20912000004
112063,67219.015417
112064,23257.874593
112065,55114.970246000004
112066,6379.4623854
112067,116507.157895
112068,45685.804935
112069,268178.71179
112070,286192.12793
112071,43305.103642999995
112072,76076.58641900001
112073,41368.991528
112074,26277.481501000002
112075,35714.1809469
112076,142248.415856
112077,1184432.63827
112078,8417.927747099999
112079,164111.05381999997
112080,86541.61817300001
112081,899069.9270699999
112082,39141.225571999996
112083,34836.445137999995
112084,17442.0037542
112085,41297.029191999995
112086,35124.14064099999
112087,60227.42541
112088,139446.61717
112089,53818.933867
112090,168013.30672000002
112091,42587.331018000004
112092,29471.595240000002
112093,91264.635271
112094,34296.495242
112095,49243.086689
112096,109361.431091
112097,19336.322096
112098,36144.73702
112099,32186.957747999997
112100,46049.98229999999
112101,172947.51171000002
112102,30075.026869
112103,136547.25624199997
112104,68777.17874399999
112105,43373.295664
112106,86800.95837200001
